url	download_complete
www.ics.uci.edu/ugrad	complete
www.ics.uci.edu/~perl/publication/pg_diversity	complete
www.ics.uci.edu/~fowlkes/software/nca	complete
cloudberry.ics.uci.edu/2018/12	complete
www.ics.uci.edu/~mjcarey	complete
ngs.ics.uci.edu/visr-is-in-android-marketplace	complete
ngs.ics.uci.edu/ict-for-development-is-dominated-by-social-network-thinking	incomplete
cml.ics.uci.edu/aiml/page/8	complete
mswe.ics.uci.edu/program/about-the-program	complete
ngs.ics.uci.edu/category/experiential-computing/page/2	complete
www.ics.uci.edu/about/search	complete
cml.ics.uci.edu/aiml/page/18	complete
cml.ics.uci.edu/aiml/page/19	complete
grape.ics.uci.edu/wiki/asterix/wiki/stats170ab-2018	complete
www.ics.uci.edu/~perl/publication/readactor	complete
cml.ics.uci.edu/aiml/page/14	complete
cml.ics.uci.edu/aiml/page/15	complete
cml.ics.uci.edu/aiml/page/16	complete
cml.ics.uci.edu/aiml/page/17	complete
cml.ics.uci.edu/aiml/page/10	complete
cloudberry.ics.uci.edu/author/chenli	complete
cml.ics.uci.edu/aiml/page/12	complete
cml.ics.uci.edu/aiml/page/13	complete
ngs.ics.uci.edu/meeting-prof-h-h-nagel	complete
isg.ics.uci.edu/db-qual	complete
ngs.ics.uci.edu/tag/micro-stories	complete
graphmod.ics.uci.edu	complete
cml.ics.uci.edu/2018/08/two-new-nsf-awards-in-machine-learning-for-sameer-singh	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=allerton09.pdf	complete
ngs.ics.uci.edu/tag/sharing-photos	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=uai06.pdf	complete
ngs.ics.uci.edu/entrepreneurship/current-companies	complete
ngs.ics.uci.edu/multimedia-semantics-bridging-the-semantic-gap	complete
www.ics.uci.edu/~qlou	complete
isg.ics.uci.edu/events.html	complete
ngs.ics.uci.edu/tag/health-navigator	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2017-spring-project1	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2017-spring-project2	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2017-spring-project3	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2017-spring-project4	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2017-spring-project5	complete
fr.ics.uci.edu/chile	complete
www.ics.uci.edu/employment/employ_faculty.php	complete
futurehealth.ics.uci.edu/resources	complete
cbcl.ics.uci.edu	incomplete
cloudberry.ics.uci.edu/2016/05	incomplete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=kdsd08.ps	complete
www.ics.uci.edu/ugrad/courses/listing.php?year=2016&level=Graduate&department=STATS&program=ALL	complete
www.ics.uci.edu/employment	complete
cml.ics.uci.edu/aiml/page/5	complete
ngs.ics.uci.edu/teaching/current-courses	complete
www.ics.uci.edu/statistics/grad/index.php	complete
cloudberry.ics.uci.edu/demos/twittermap	complete
sli.ics.uci.edu/Projects/Sensor	complete
www.ics.uci.edu/grad/courses/details.php?id=374	complete
ngs.ics.uci.edu/professionalsocial/recognitions	complete
mhcid.ics.uci.edu/admissions/online-information-sessions	complete
cml.ics.uci.edu/2013/08/2013_anima	complete
cloudberry.ics.uci.edu/aboutme/luochen01.github.io	complete
isg.ics.uci.edu/faculty2/kim-taewoo	complete
ngs.ics.uci.edu/tag/objective-self/page/2	complete
www.ics.uci.edu/~kyungbak	complete
www.ics.uci.edu/~chenli/webobjects	complete
www.ics.uci.edu/community/news/spotlight/spotlight_russell.php	complete
cml.ics.uci.edu/2018/09/fall-2018	incomplete
calendar.ics.uci.edu/calendar.php	complete
auge.ics.uci.edu/eventshop	complete
cml.ics.uci.edu/2013/08/2013_pfbaldi	complete
www.ics.uci.edu/~perl/publication	complete
ugradforms.ics.uci.edu	complete
sli.ics.uci.edu/Pubs/Pubs	complete
www.ics.uci.edu/about/about_safety.php	complete
ngs.ics.uci.edu/research/research-papers/experiential-computing	complete
www.ics.uci.edu/~fowlkes	complete
ngs.ics.uci.edu/entrepreneurship/past-companies	complete
cml.ics.uci.edu/2015/03/spring-2015	complete
